rang_playlist,date,vues,produits,note,statut,lien
54,2024-08-07,2462,crevettes+netetou+yokhos,,,https://www.tiktok.com/@seggfaye/video/7400518788963241248
55,2025-03-12,,pack saloum+pack c bon+pack fouta+netetou,,,https://www.tiktok.com/@seggfaye/video/7480921517497273622
56,2025-01-15,1085,pack saloum+pack guedj+netetou+live,,,https://www.tiktok.com/@seggfaye/video/7460180535130770710
57,2024-12-13,1659,pack saloum+pack guedj+pack c bon+netetou+live,,,https://www.tiktok.com/@seggfaye/video/7447785275993902358
58,2024-11-08,,pack saloum+pack guedj+huile de palme+live,,,https://www.tiktok.com/@seggfaye/video/7434971052247125280
59,2025-02-25,,pack saloum+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7475254764897307926
60,2025-02-23,1500,pack saloum+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7474654932096929046
61,2025-02-03,1476,pack saloum+pack guedj+pack fouta+live,,,https://www.tiktok.com/@seggfaye/video/7467312764562853142
62,2024-11-01,,pack saloum+pack guedj+huile de palme+live,,,https://www.tiktok.com/@seggfaye/video/7432243324532149536
63,2025-04-22,2543,pack saloum+pack c bon+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7496099108638264598
64,2025-03-29,1581,pack saloum+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7487305936063761686
65,2025-03-11,2320,pack saloum+pack c bon+pack fouta+netetou,,,https://www.tiktok.com/@seggfaye/video/7480444275965152534
66,2025-03-31,1097,pack saloum+pack fouta+netetou,,,https://www.tiktok.com/@seggfaye/video/7488026307360460054
67,2025-01-16,1385,pack saloum+pack guedj+netetou+live,,,https://www.tiktok.com/@seggfaye/video/7460627078594006294
68,2025-01-13,1459,pack saloum+pack guedj+netetou+live,,,https://www.tiktok.com/@seggfaye/video/7459426813794635030
69,2024-03-10,4108,crevettes,GROS RETOUR crevettes,fiche crevettes-sechees 12/06/2026,https://www.tiktok.com/@seggfaye/video/7344573853718416673
70,2024-11-22,1630,pack saloum+pack guedj+pack c bon+netetou+live,,,https://www.tiktok.com/@seggfaye/video/7440199530038988064
71,2024-11-16,1209,pack saloum+pack guedj+pack c bon+netetou+live,,,https://www.tiktok.com/@seggfaye/video/7437798127056211233
72,2025-04-12,1353,pack saloum+pack c bon+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7492406190132006166
73,2025-03-10,1380,,,,https://www.tiktok.com/@seggfaye/video/7480245406744562966
74,2025-03-03,2299,,,,https://www.tiktok.com/@seggfaye/video/7477422304071404822
75,2024-12-13,1854,pack saloum+pack guedj+pack c bon+netetou+live,,,https://www.tiktok.com/@seggfaye/video/7447926282513304854
76,2024-11-23,1584,pack guedj+pack c bon+netetou+live,,,https://www.tiktok.com/@seggfaye/video/7440446223573601569
77,2024-08-19,2539,pack saloum+crevettes+netetou,,,https://www.tiktok.com/@seggfaye/video/7404876053769981217
78,2025-05-21,1409,,,,https://www.tiktok.com/@seggfaye/video/7506999277852495127
79,2025-04-18,2750,,ngourbane national,,https://www.tiktok.com/@seggfaye/video/7494530122851142934
80,2025-04-12,1890,pack saloum+pack c bon+pack fouta+maad,,,https://www.tiktok.com/@seggfaye/video/7492399526087707926
81,2025-03-01,1886,,,,https://www.tiktok.com/@seggfaye/video/7476752431766834454
82,2024-01-30,4305,,"à identifier (4,3K vues)",,https://www.tiktok.com/@seggfaye/video/7329918532559424801
83,2025-05-17,2003,pack saloum+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7505353638206917910
84,2025-01-19,2147,,,,https://www.tiktok.com/@seggfaye/video/7461660683805953302
85,2024-12-05,,pack saloum+pack guedj+pack c bon+netetou+live,,,https://www.tiktok.com/@seggfaye/video/7444887691906387222
86,2024-03-03,3949,,"à identifier (3,9K vues)",,https://www.tiktok.com/@seggfaye/video/7342100861595716896
87,2024-11-25,,pack saloum+pack guedj+pack c bon+netetou+live,,,https://www.tiktok.com/@seggfaye/video/7441116652676205856
88,2024-10-17,,pack saloum+pack guedj,,,https://www.tiktok.com/@seggfaye/video/7426695200799477025
89,2024-02-23,5229,crevettes,"GROS RETOUR crevettes (5,2K vues)",,https://www.tiktok.com/@seggfaye/video/7338865199564295457
90,2025-05-21,1302,,,,https://www.tiktok.com/@seggfaye/video/7506853487624375574
91,2025-02-17,1913,pack saloum+pack guedj+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7472296537243110678
92,2025-01-29,2326,pack saloum+pack guedj+crevettes,,,https://www.tiktok.com/@seggfaye/video/7465363369629928726
93,2025-01-25,3091,pack saloum+live,,,https://www.tiktok.com/@seggfaye/video/7463961462537506070
94,2025-02-20,1353,pack saloum+pack guedj+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7473469774224297238
95,2025-04-23,2813,pack saloum+pack c bon+pack fouta,diwnior,,https://www.tiktok.com/@seggfaye/video/7496606833688317206
96,2025-02-20,1133,,,,https://www.tiktok.com/@seggfaye/video/7473558012565785878
97,2025-05-23,2454,,,,https://www.tiktok.com/@seggfaye/video/7507646952629226774
98,2025-05-26,1936,pack saloum,,,https://www.tiktok.com/@seggfaye/video/7508643286953823510
99,2025-05-23,1097,pack saloum,,,https://www.tiktok.com/@seggfaye/video/7507701247424793878
100,2025-06-04,1884,pack saloum+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7512207549018508566
101,2025-06-04,1361,pack saloum+pack fouta,diola,,https://www.tiktok.com/@seggfaye/video/7512205823662116118
102,2025-06-04,2139,pack saloum,diola eva,,https://www.tiktok.com/@seggfaye/video/7512203784160906519
103,2025-06-09,1399,pack saloum,,,https://www.tiktok.com/@seggfaye/video/7513935756214209814
104,2025-06-06,1690,pack saloum,,,https://www.tiktok.com/@seggfaye/video/7512912322277428502
105,2025-06-05,2324,pack saloum+pack fouta,Mouhamed Pouye,,https://www.tiktok.com/@seggfaye/video/7512504403304221974
106,2025-06-01,1542,pack saloum+pack c bon+pack fouta,diola Mane730,,https://www.tiktok.com/@seggfaye/video/7510934829534334230
107,2025-05-31,1763,pack saloum+pack fouta,diola,,https://www.tiktok.com/@seggfaye/video/7510663642493340950
108,2025-05-31,1621,pack saloum+pack c bon+pack fouta,Kuyateh & Kumareh Band diola eva,,https://www.tiktok.com/@seggfaye/video/7510570344172850454
109,2025-05-30,1302,pack saloum+pack fouta,Kuyateh & Kumareh Band diola,,https://www.tiktok.com/@seggfaye/video/7510329628855242006
110,2025-05-29,1705,pack saloum+pack fouta,diola,,https://www.tiktok.com/@seggfaye/video/7509914238186573078
111,2025-05-29,1603,,avec des femmes tata nafi,,https://www.tiktok.com/@seggfaye/video/7509887019187850518
112,2025-05-28,1108,pack saloum+pack c bon+pack fouta,Kuyateh & Kumareh Band diola,,https://www.tiktok.com/@seggfaye/video/7509430584704306454
113,2025-06-20,1581,pack saloum+crevettes,,,https://www.tiktok.com/@seggfaye/video/7517975989738130710
114,2025-06-20,1690,,LUXURY JEWELLERY,,https://www.tiktok.com/@seggfaye/video/7517969863852395798
115,2025-06-20,1081,pack saloum+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7517952163532786966
116,2025-06-18,1612,,,,https://www.tiktok.com/@seggfaye/video/7517347748887285014
117,2025-06-18,1816,crevettes,,,https://www.tiktok.com/@seggfaye/video/7517290121855520022
118,2025-06-16,1215,,Bathily,,https://www.tiktok.com/@seggfaye/video/7516492802033765654
119,2025-06-15,1634,,,,https://www.tiktok.com/@seggfaye/video/7516271817389051158
120,2025-06-13,1135,pack saloum+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7515452155180928278
121,2025-06-12,1122,pack saloum+pack fouta,,,https://www.tiktok.com/@seggfaye/video/7515053030656462102
122,2025-06-11,1266,pack saloum,,,https://www.tiktok.com/@seggfaye/video/7514784660233276694
123,2025-07-31,1437,,,,https://www.tiktok.com/@seggfaye/video/7533344666331122966
124,2025-07-30,1250,,,,https://www.tiktok.com/@seggfaye/video/7532983370372877590
125,2025-07-30,1922,,diola,,https://www.tiktok.com/@seggfaye/video/7532981022116384022
126,2025-07-30,2552,pack saloum+pack fouta,diola,,https://www.tiktok.com/@seggfaye/video/7532885358686571798
127,2025-07-30,928,pack saloum+pack fouta,diola,,https://www.tiktok.com/@seggfaye/video/7532867129025105174
128,2025-07-30,1068,pack saloum+pack fouta,diola Latte Macchiato,,https://www.tiktok.com/@seggfaye/video/7532810881999080726
129,2025-07-28,1364,pack saloum,diola,,https://www.tiktok.com/@seggfaye/video/7532223729569369366
130,2025-07-28,885,pack saloum+pack fouta+crevettes,Sambou diola,,https://www.tiktok.com/@seggfaye/video/7532108610105576726
131,2025-07-25,1144,pack saloum+pack fouta,diola,,https://www.tiktok.com/@seggfaye/video/7530984481981992215
132,2025-07-25,1542,,,,https://www.tiktok.com/@seggfaye/video/7530914963553045782
133,2025-07-25,1536,pack saloum+pack fouta,diola,,https://www.tiktok.com/@seggfaye/video/7530914436886957334
134,2025-07-23,1221,,diola,,https://www.tiktok.com/@seggfaye/video/7530313660091092246
135,2025-07-23,1210,pack saloum+pack fouta,diola,,https://www.tiktok.com/@seggfaye/video/7530237101024038166
136,2025-07-22,1042,pack saloum,,,https://www.tiktok.com/@seggfaye/video/7529878717900786966
137,2025-07-09,1790,pack saloum,,,https://www.tiktok.com/@seggfaye/video/7525086301083684118
138,2025-07-04,1338,pack saloum,diola watt,,https://www.tiktok.com/@seggfaye/video/7523275985358179606
139,2025-07-03,1567,pack saloum,Seye diola,,https://www.tiktok.com/@seggfaye/video/7522812964634627350
140,2025-06-28,1546,pack saloum+crevettes,,,https://www.tiktok.com/@seggfaye/video/7521035673944575254
141,2025-06-27,1062,,,,https://www.tiktok.com/@seggfaye/video/7520595236016459030
142,2025-06-25,1425,,diola Mouhamed Pouye,,https://www.tiktok.com/@seggfaye/video/7519969574121458966
143,2025-06-24,1957,pack saloum,,,https://www.tiktok.com/@seggfaye/video/7519564520361069846
144,2025-06-24,1339,pack saloum+crevettes,,,https://www.tiktok.com/@seggfaye/video/7519516250507103510
145,2025-06-22,1043,pack saloum+crevettes,,,https://www.tiktok.com/@seggfaye/video/7518805635912240406
146,2025-09-11,1372,pack saloum,,,https://www.tiktok.com/@seggfaye/video/7548757411276868886
147,2025-09-09,1673,pack saloum,,,https://www.tiktok.com/@seggfaye/video/7548040867592867094
148,2025-09-06,839,pack saloum,diola,,https://www.tiktok.com/@seggfaye/video/7546898346049309974
149,2025-09-06,1175,pack saloum,diola,,https://www.tiktok.com/@seggfaye/video/7546894004755942678
150,2025-09-05,821,pack saloum,,,https://www.tiktok.com/@seggfaye/video/7546684832269470998
151,2025-09-05,749,pack saloum,,,https://www.tiktok.com/@seggfaye/video/7546510629562109206
152,2025-09-05,939,pack saloum,,,https://www.tiktok.com/@seggfaye/video/7546505033144159510
153,2025-09-01,1204,pack saloum,diola,,https://www.tiktok.com/@seggfaye/video/7545013516839767318
154,2025-08-30,862,pack saloum,,,https://www.tiktok.com/@seggfaye/video/7544457952611110166
155,2025-08-30,1334,,diola,,https://www.tiktok.com/@seggfaye/video/7544340724981009686
156,2025-08-30,2561,,nioul diola,,https://www.tiktok.com/@seggfaye/video/7544323118601440534
157,2025-08-29,3253,,tumbulan diola NYC,,https://www.tiktok.com/@seggfaye/video/7543960170687106326
158,2025-09-17,950,pack saloum,,,https://www.tiktok.com/@seggfaye/video/7551019017713093910
159,2025-09-17,858,,,,https://www.tiktok.com/@seggfaye/video/7551014760586775830
160,2025-09-16,1248,pack saloum,,,https://www.tiktok.com/@seggfaye/video/7550605372847852822
161,2025-09-15,852,pack saloum,,,https://www.tiktok.com/@seggfaye/video/7550294149379951894
162,2026-01-19,935,,soupou kandja victoire des lions,,https://www.tiktok.com/@seggfaye/video/7597033121464306966
163,2026-01-18,918,,,,https://www.tiktok.com/@seggfaye/video/7596708665038490902
164,2026-01-13,,thiebou kethiakh,Recette Thiebou Keciath,,https://www.tiktok.com/@seggfaye/video/7594896101438704899
165,2026-01-07,948,,REMERCIEMENTS,,https://www.tiktok.com/@seggfaye/video/7592746649273781526
166,2026-01-03,680,,produits en Allemagne,accueil section avis 12/06/2026,https://www.tiktok.com/@seggfaye/video/7591264283665747222
167,2025-12-26,1224,thiebou kethiakh,CHEF BAMBA Ciebu Keciax,,https://www.tiktok.com/@seggfaye/video/7588080514301431062
168,2025-12-22,749,,LIVRAISON SUEDE,accueil section avis 12/06/2026,https://www.tiktok.com/@seggfaye/video/7586755030171110678
169,2025-12-20,1651,thiebou kethiakh,avec Bamba,,https://www.tiktok.com/@seggfaye/video/7585944696124493078
170,2025-12-06,1369,pack guedj,Thiebou guedji Yass,,https://www.tiktok.com/@seggfaye/video/7580714165556301078
171,2025-12-06,1117,pack guedj,Thiebou guedji Yass,,https://www.tiktok.com/@seggfaye/video/7580702752213355798
172,2025-12-05,940,,vente en ligne produits halieutiques,,https://www.tiktok.com/@seggfaye/video/7580305108051791126
173,2025-12-04,705,,produits exotiques livraison rapide,,https://www.tiktok.com/@seggfaye/video/7579925965883591958
174,2025-11-14,2199,,vente en ligne DUPONT CHOGAN,,https://www.tiktok.com/@seggfaye/video/7572651192782834966
175,2025-11-11,797,pack saloum,vente en ligne USA,,https://www.tiktok.com/@seggfaye/video/7571405167258570006
176,2025-11-09,2199,,Thiebou Djeun Diagga,recette thieboudienne 13/06/2026,https://www.tiktok.com/@seggfaye/video/7570663131903577366
177,2025-11-07,1045,,Foutty Guinée,,https://www.tiktok.com/@seggfaye/video/7569906564329409814
178,2025-11-06,925,pack saloum,soupe kandja,,https://www.tiktok.com/@seggfaye/video/7569710370496007446
179,2025-11-06,4903,pack saloum,"Thiebou Djeune anniversaire (4,9K vues)",,https://www.tiktok.com/@seggfaye/video/7569523638194490646
180,2025-10-14,2076,,plat sénégalais,,https://www.tiktok.com/@seggfaye/video/7560971290446744854
181,2026-01-17,1553,,CAN 2025 (hors avis),,https://www.tiktok.com/@seggfaye/video/7596237750634859798
182,2026-01-02,1378,,petit dej version 2026,,https://www.tiktok.com/@seggfaye/video/7590758024223034647
183,2025-12-24,786,,CIEBOU WEX JOLLOF RICE,,https://www.tiktok.com/@seggfaye/video/7587428497958784278
184,2025-12-16,2564,,JOIE DU MATIN,,https://www.tiktok.com/@seggfaye/video/7584354916076932374
185,2025-12-15,752,,LIVRAISON MAROC,accueil section avis 12/06/2026,https://www.tiktok.com/@seggfaye/video/7584189030506433814
186,2025-12-12,1419,,DEUKHINE risotto sénégalais,,https://www.tiktok.com/@seggfaye/video/7583072580349840662
187,2025-11-27,1092,,vente en ligne halieutiques France,,https://www.tiktok.com/@seggfaye/video/7577322077561031958
188,2025-11-18,358,,,,https://www.tiktok.com/@seggfaye/video/7574169315121843478
189,2025-10-12,1252,netetou,,,https://www.tiktok.com/@seggfaye/video/7560246162591075606
190,2026-01-20,843,,Rossi jeun Caldou (recette),,https://www.tiktok.com/@seggfaye/video/7597523217229548822
191,2026-01-20,1006,pack guedj,Ingrédients Caldou (recette),,https://www.tiktok.com/@seggfaye/video/7597522751900978454
192,2025-12-23,1279,,,,https://www.tiktok.com/@seggfaye/video/7587078946945043734
193,2025-11-15,1214,,arachides fraîches,,https://www.tiktok.com/@seggfaye/video/7572945408872189206
194,2025-11-12,1125,,Le Mafé DUPONT CHOGAN,,https://www.tiktok.com/@seggfaye/video/7571968779870129430
195,2026-01-31,899,,"mbakhalou (recette, déjà sur blog)",,https://www.tiktok.com/@seggfaye/video/7601542335079468310
196,2026-01-30,982,,vinaigrettes DAKKAR NDIAMBANE,,https://www.tiktok.com/@seggfaye/video/7601102779062734083
197,2026-02-03,,,Thiebou Dieune doit devenir viral,,https://www.tiktok.com/@seggfaye/video/7602591335995968790
198,2026-02-02,,,DEukhine birou kharr Gambie,,https://www.tiktok.com/@seggfaye/video/7602292792840293654
199,2026-02-12,434,,"RETOUR NIECE CONDITIONNEMENT (""retour indescriptible"")",,https://www.tiktok.com/@seggfaye/video/7605885901784337686
200,2026-02-15,417,,culture du vivre ensemble,,https://www.tiktok.com/@seggfaye/video/7607134470910627094
201,2026-02-19,988,,poisson Yakh,,https://www.tiktok.com/@seggfaye/video/7608660700399013142
202,2026-02-19,5402,,"YAKH poisson frais (5,4K vues)",,https://www.tiktok.com/@seggfaye/video/7608637545756347670
203,2026-02-19,,,types de poissons frais,,https://www.tiktok.com/@seggfaye/video/7608626883915255062
204,2026-02-18,812,,RAMADAN NIECE remerciements,,https://www.tiktok.com/@seggfaye/video/7608166231790718230
205,2026-02-17,838,,Thiere MBOUM,,https://www.tiktok.com/@seggfaye/video/7607857001301069059
206,2026-02-17,,,THIERE MBOUM recette,,https://www.tiktok.com/@seggfaye/video/7607786284584553750
207,2026-02-16,374,,"mafé (recette, déjà sur blog)",,https://www.tiktok.com/@seggfaye/video/7607604065345768726
208,2026-02-22,530,,liste poisson,,https://www.tiktok.com/@seggfaye/video/7609706251806690582
209,2026-02-22,779,,Thiebou Wekh,recette thieboudienne 13/06/2026,https://www.tiktok.com/@seggfaye/video/7609696059702430998
210,2026-02-22,1053,,Yakh poisson haute qualité,,https://www.tiktok.com/@seggfaye/video/7609645419030662422
211,2026-03-14,,,conseils culinaires,,https://www.tiktok.com/@seggfaye/video/7617079880617872662
212,2026-03-29,,,préparation Thiebou Dieune poissons frais,,https://www.tiktok.com/@seggfaye/video/7622667172866690326
213,2026-03-29,,,RETOUR CLIENT soupou kandja épices+huile de palme (déjà sur blog),,https://www.tiktok.com/@seggfaye/video/7622671811871837462
214,2026-04-04,557,,CLIENTE SATISFAITE livraison optimisée,catégorie poissons-frais 12/06/2026,https://www.tiktok.com/@seggfaye/video/7624837797219667222
215,2026-04-03,1205,,LE POISSON EST ARRIVÉ livraison top,catégorie poissons-frais 12/06/2026,https://www.tiktok.com/@seggfaye/video/7624625335342091542
216,2026-04-05,1425,,Mbakhalou Saloum plat mythique,,https://www.tiktok.com/@seggfaye/video/7625239770922372374
217,2026-05-10,,,huile de palme Diwtir maman,,https://www.tiktok.com/@seggfaye/video/7638211847275154711
218,2026-06-08,415,,,,https://www.tiktok.com/@seggfaye/video/7649014995161795862
